CLIENTNUM,segment_id,customer_value,churn_score,churn_prob_calibrated,quadrant_official,threshold_official_risk,threshold_official_value,expected_saving,target_priority
708082083,1,15149.000000,0.001147,0.005543,low_cost_keep,0.132753,3899.000000,20.193138,2531
708083283,4,992.000000,0.581445,0.332863,watch,0.132753,3899.000000,94.059920,1950
708084558,4,1447.000000,0.395484,0.105694,watch,0.132753,3899.000000,40.881609,2113
708085458,2,3940.000000,0.000222,0.005504,low_cost_keep,0.132753,3899.000000,1.505796,7426
708086958,3,4369.000000,0.026175,0.006721,low_cost_keep,0.132753,3899.000000,3.809440,4026
708095133,4,1448.000000,0.043060,0.007653,accept_churn,0.132753,3899.000000,-1.675527,9155
708098133,4,1598.000000,0.000052,0.005497,accept_churn,0.132753,3899.000000,-2.364808,9627
708099183,2,2732.000000,0.221433,0.029785,watch,0.132753,3899.000000,19.412122,2661
708100533,3,4943.000000,0.000166,0.005502,low_cost_keep,0.132753,3899.000000,3.158481,4583
708103608,1,15798.000000,0.000419,0.005512,low_cost_keep,0.132753,3899.000000,21.125558,2415
708104658,4,2928.000000,0.041230,0.007546,accept_churn,0.132753,3899.000000,1.628529,7260
708108333,4,1507.000000,0.991843,0.922956,watch,0.132753,3899.000000,412.268514,1407
708112008,4,1661.000000,0.820189,0.760200,watch,0.132753,3899.000000,373.807617,1462
708113208,2,4375.000000,0.000748,0.005526,low_cost_keep,0.132753,3899.000000,2.253421,6114
708117933,4,2469.000000,0.996720,0.925599,watch,0.132753,3899.000000,680.591440,599
708119658,4,2519.000000,0.775587,0.691755,watch,0.132753,3899.000000,517.759346,1202
708121908,4,2045.000000,0.997290,0.925903,watch,0.132753,3899.000000,563.041285,1066
708123033,1,14511.000000,0.002809,0.005615,low_cost_keep,0.132753,3899.000000,19.443068,2656
708125733,3,4311.000000,0.001199,0.005546,low_cost_keep,0.132753,3899.000000,2.172173,6268
708128733,3,5014.000000,0.002980,0.005622,low_cost_keep,0.132753,3899.000000,3.456996,4250
708129933,3,4210.000000,0.002993,0.005623,low_cost_keep,0.132753,3899.000000,2.101587,6405
708132783,2,3929.000000,0.000350,0.005510,low_cost_keep,0.132753,3899.000000,1.494052,7444
708134283,4,1483.000000,0.031930,0.007025,accept_churn,0.132753,3899.000000,-1.874393,9274
708136908,2,4655.000000,0.024670,0.006644,low_cost_keep,0.132753,3899.000000,4.278103,3893
708139833,4,2323.000000,0.988606,0.921154,watch,0.132753,3899.000000,636.952364,772
708145908,3,3999.000000,0.000108,0.005499,low_cost_keep,0.132753,3899.000000,1.597434,7299
708147108,2,2309.000000,0.006629,0.005782,accept_churn,0.132753,3899.000000,-0.994493,8906
708148158,3,4207.000000,0.000864,0.005531,low_cost_keep,0.132753,3899.000000,1.981126,6645
708151008,4,2433.000000,0.013393,0.006092,accept_churn,0.132753,3899.000000,-0.553771,8764
708152358,3,8019.000000,0.992384,0.923254,save_first,0.132753,3899.000000,2216.071423,127
708153558,2,7936.000000,0.001307,0.005550,low_cost_keep,0.132753,3899.000000,8.214074,3462
708154833,4,2336.000000,0.996298,0.925374,watch,0.132753,3899.000000,643.502209,739
708155733,4,1289.000000,0.000543,0.005518,accept_churn,0.132753,3899.000000,-2.866314,10015
708158133,4,2188.000000,0.987337,0.920438,watch,0.132753,3899.000000,599.175399,926
708160008,2,7412.000000,0.046223,0.007841,low_cost_keep,0.132753,3899.000000,12.435935,3162
708161133,2,3891.000000,0.000358,0.005510,accept_churn,0.132753,3899.000000,1.431654,7530
708162558,4,1355.000000,0.003641,0.005651,accept_churn,0.132753,3899.000000,-2.702899,9894
708163758,1,13085.000000,0.002324,0.005594,low_cost_keep,0.132753,3899.000000,16.958867,3005
708170508,4,1651.000000,0.994000,0.924136,watch,0.132753,3899.000000,452.724332,1351
708171858,4,2607.000000,0.002314,0.005593,accept_churn,0.132753,3899.000000,-0.625352,8786
708173433,4,2482.000000,0.514523,0.229070,watch,0.132753,3899.000000,165.565797,1832
